Y Pixel,X Pixel,Radius
25.5,265.0,24.5
5.5,1184.0,4.5
8.5,1541.0,4.5
14.5,1049.5,9.5
25.5,1557.5,18.5
20.5,567.5,8.5
29.0,1442.0,9.0
26.5,1159.0,5.5
33.0,803.5,10.0
29.5,1108.5,6.5
30.0,343.0,6.0
38.5,102.5,5.5
39.0,36.5,5.0
42.0,63.5,6.0
44.5,877.5,8.5
47.0,605.5,9.0
43.5,1246.5,5.5
54.0,810.0,9.0
57.0,421.0,5.0
58.0,1207.0,6.0
70.5,460.5,7.5
71.5,246.5,4.5
79.0,1219.5,10.0
99.5,443.5,21.5
90.5,1258.0,12.5
89.0,918.0,9.0
87.5,111.0,6.5
91.5,974.0,8.5
91.5,1177.5,5.5
93.5,412.5,5.5
98.5,1196.0,10.5
98.5,208.0,6.5
97.5,1468.5,5.5
101.5,71.5,7.5
104.0,1367.5,9.0
105.0,159.0,9.0
104.0,357.0,8.0
112.0,1141.0,9.0
109.0,202.0,5.0
108.5,940.5,4.5
113.0,1494.5,7.0
131.0,696.0,15.0
123.5,727.0,6.5
127.5,1337.5,7.5
129.0,1360.0,5.0
135.0,883.0,7.0
133.0,1244.0,5.0
142.0,1052.5,11.0
139.5,806.0,7.5
145.0,305.0,6.0
151.5,136.0,11.5
147.0,1477.0,7.0
154.0,494.5,11.0
157.5,897.0,10.5
167.5,1171.5,15.5
163.5,314.5,6.5
168.5,464.0,6.5
168.0,1464.0,5.0
174.0,217.5,9.0
176.5,171.5,10.5
173.0,1578.5,5.0
193.0,972.0,21.0
180.0,1492.5,7.0
186.5,129.0,6.5
193.5,439.5,6.5
200.5,377.5,8.5
203.0,1435.0,6.0
209.0,703.0,8.0
206.5,1289.5,5.5
212.0,24.5,10.0
210.0,520.0,6.0
216.5,1333.0,10.5
213.0,1489.0,7.0
214.0,193.0,7.0
215.5,287.5,8.5
216.5,839.0,8.5
216.0,1263.0,8.0
215.5,1505.5,6.5
221.0,749.0,10.0
216.0,1397.0,5.0
218.0,858.5,6.0
220.0,1445.5,5.0
224.5,724.0,7.5
229.5,1175.0,10.5
226.0,1066.0,5.0
227.5,147.0,5.5
232.0,1377.0,7.0
243.0,252.0,11.0
240.5,322.5,7.5
249.0,403.0,13.0
242.5,1334.5,6.5
255.5,738.5,16.5
254.0,665.0,12.0
248.0,940.5,6.0
252.0,565.5,8.0
252.0,1169.0,5.0
257.0,884.0,9.0
255.5,217.0,5.5
267.5,1099.0,16.5
261.5,1534.0,9.5
261.0,369.0,6.0
265.5,1570.5,9.5
262.5,1229.0,5.5
262.5,1366.5,5.5
269.0,85.5,6.0
270.5,1489.0,4.5
275.0,309.0,7.0
274.5,523.5,5.5
275.0,649.5,6.0
275.0,386.0,5.0
276.0,455.5,5.0
277.5,1439.0,4.5
284.5,810.5,5.5
285.5,1197.0,6.5
286.5,486.0,5.5
287.0,633.0,6.0
289.5,1256.0,5.5
295.5,966.5,7.5
293.5,916.5,4.5
303.5,1569.5,8.5
309.0,386.5,13.0
304.5,521.0,6.5
306.5,1019.5,3.5
314.0,1524.5,8.0
313.5,1346.5,5.5
315.0,317.0,6.0
318.0,1042.0,9.0
315.0,1011.0,4.0
320.0,86.0,6.0
319.5,1402.5,5.5
321.5,799.5,4.5
326.5,821.5,8.5
331.0,161.0,8.0
329.0,654.0,6.0
332.0,943.0,6.0
337.5,178.5,10.5
333.5,1254.5,5.5
339.5,1017.5,7.5
339.0,1533.0,5.0
340.0,1189.0,5.0
343.5,236.0,7.5
343.0,1555.5,7.0
344.0,997.0,7.0
344.5,503.0,6.5
344.5,521.5,6.5
345.0,474.0,5.0
346.0,1087.0,6.0
350.0,540.0,8.0
347.0,1231.0,4.0
350.0,1513.0,7.0
355.5,646.0,7.5
379.0,708.0,31.0
360.0,945.5,12.0
359.0,895.0,10.0
361.5,1321.0,7.5
362.5,444.5,7.5
361.5,979.5,3.5
363.0,1004.5,5.0
364.5,248.0,5.5
364.5,328.5,5.5
366.5,1240.0,7.5
366.0,796.0,6.0
366.0,388.5,5.0
366.5,1220.0,4.5
375.5,300.5,10.5
369.5,862.5,4.5
368.5,1014.5,3.5
376.5,535.5,9.5
379.0,197.0,7.0
379.0,1294.0,7.0
400.5,1066.0,25.5
384.5,1213.5,8.5
391.0,1367.0,15.0
388.5,576.5,5.5
394.0,332.0,9.0
390.0,1543.5,5.0
395.0,501.5,6.0
398.5,539.0,8.5
403.0,1137.5,12.0
406.5,824.5,10.5
402.5,1196.5,4.5
404.5,6.0,5.5
405.5,659.5,6.5
406.0,1292.0,6.0
411.0,922.0,9.0
409.5,600.0,6.5
416.5,347.5,12.5
423.0,571.5,12.0
420.0,1546.0,7.0
429.5,117.0,15.5
419.5,1582.0,4.5
430.5,1468.5,13.5
429.5,52.5,9.5
425.5,243.5,5.5
427.0,958.0,4.0
428.5,867.0,4.5
435.0,1304.0,11.0
433.0,1428.5,9.0
434.5,226.5,6.5
436.0,1142.5,6.0
440.0,1162.0,9.0
436.5,1118.5,4.5
442.0,731.0,9.0
438.5,1335.0,5.5
456.0,489.5,19.0
451.0,997.5,13.0
444.5,352.5,5.5
447.0,531.0,6.0
452.0,607.0,7.0
455.5,704.0,8.5
452.5,1176.0,5.5
452.0,1357.5,5.0
455.0,955.0,6.0
454.5,188.5,4.5
454.5,723.5,4.5
456.5,814.5,6.5
462.5,272.5,11.5
455.5,1087.0,4.5
464.0,1309.0,13.0
464.0,1055.0,10.0
459.0,1523.0,5.0
468.0,793.5,5.0
473.5,443.5,7.5
471.0,1182.0,5.0
475.5,375.5,6.5
481.0,355.5,9.0
481.5,888.5,8.5
495.0,1461.5,22.0
478.5,312.5,4.5
481.0,633.0,5.0
480.5,1340.0,4.5
479.5,1509.5,3.5
483.5,508.5,5.5
484.5,66.5,5.5
490.5,1025.0,10.5
484.5,1156.5,4.5
486.0,1354.0,6.0
498.0,1135.5,16.0
490.5,783.0,6.5
496.5,453.5,8.5
500.5,567.0,11.5
503.0,800.0,12.0
507.5,974.5,6.5
509.0,353.0,7.0
509.0,638.0,6.0
510.0,773.0,5.0
517.5,98.0,5.5
520.0,1407.5,4.0
525.0,996.5,8.0
527.0,1571.5,10.0
523.5,362.5,5.5
524.0,687.0,6.0
524.0,281.0,5.0
525.5,19.5,5.5
532.5,236.5,9.5
529.5,124.0,5.5
529.0,743.0,5.0
534.5,349.0,6.5
537.0,32.0,8.0
535.5,287.5,5.5
540.5,524.5,10.5
544.0,706.0,11.0
540.0,214.0,5.0
542.0,375.0,4.0
543.5,1428.5,4.5
550.0,19.0,6.0
553.5,109.0,9.5
557.0,265.5,11.0
553.0,360.0,7.0
554.0,813.0,7.0
554.5,1335.0,6.5
555.0,1421.5,7.0
558.5,180.0,8.5
562.0,1178.0,6.0
560.5,1320.0,4.5
570.0,1582.0,11.0
566.0,417.5,5.0
566.5,1488.5,5.5
569.5,1344.0,6.5
573.0,1470.0,10.0
572.5,1103.5,7.5
