Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,2,7150.0089,4.78E-28,9.55E-02,0.0531,0.315,1466.0181,0.55,-0.01546
1,2,7150.0193,3.71E-27,6.00E-01,0.0372,0.27,1684.4393,0.47,-0.010444
1,4,7150.033309,3.59E-28,2.61E+00,0.0914,0.434,1569.0242,0.71,-0.00758
1,2,7150.0504,2.96E-27,1.37E+00,0.0394,0.315,1618.8962,0.55,-0.017356
1,1,7150.0674,4.42E-24,2.59E-01,0.0824,0.333,1050.1576,0.57,-0.00982
1,1,7150.1975,5.62E-28,1.65E-02,0.0622,0.391,2251.6953,0.67,-0.01364
1,1,7150.2099,2.65E-28,3.52E-03,0.0677,0.265,2205.6518,0.44,-0.01694
1,1,7150.26541,2.49E-23,2.01E-01,0.0695,0.31,756.7247,0.63,-0.012289
1,4,7150.266589,6.88E-28,2.72E+00,0.0268,0.281,1757.3416,0.47,-0.02112
1,4,7150.269389,7.02E-28,2.78E+00,0.0268,0.281,1757.3411,0.47,-0.02066
1,1,7150.281997,2.84E-29,3.66E-04,0.0478,0.333,2337.6667,0.57,-0.012465
1,4,7150.287393,1.37E-29,5.43E-02,0.0496,0.281,1757.3416,0.47,-0.022964
1,2,7150.2985,3.44E-27,1.11E-01,0.0794,0.333,1047.3285,0.57,-0.009352
1,4,7150.317441,9.20E-27,8.46E-01,0.078,0.298,964.8505,0.51,-0.01488
1,1,7150.355489,4.70E-25,2.78E+00,0.028,0.315,2225.4688,0.55,-0.01326
1,1,7150.356101,1.57E-25,2.78E+00,0.028,0.315,2225.4688,0.55,-0.0132
1,6,7150.371343,2.07E-28,4.01E+00,0.0864,0.371,305.2092,0.63,-0.01552
1,1,7150.3719,2.93E-29,2.87E-04,0.0619,0.391,2251.8623,0.67,-0.013732
1,1,7150.4361,3.00E-24,7.07E+00,0.0327,0.315,1810.583,0.55,-0.01956
1,1,7150.472,1.13E-23,8.88E+00,0.0328,0.24,1810.5877,0.55,-0.01464
1,1,7150.4863,1.46E-29,8.29E-04,0.0349,0.281,2522.2607,0.47,-0.02238
1,3,7150.4936,2.75E-27,6.33E-01,0.0777,0.362,1128.9384,0.57,-0.007364
1,1,7150.51208,1.75E-22,1.18E+00,0.082,0.46,782.4098,0.61,-0.008749
1,3,7150.5557,4.48E-24,1.15E+01,0.095,0.496,224.3042,0.69,-0.009999
1,1,7150.5578,1.92E-28,6.97E-01,0.0458,0.315,3320.9296,0.55,-0.01644
1,1,7150.6495,1.22E-29,2.67E-04,0.0667,0.333,2495.1657,0.57,0.002352
1,3,7150.6532,7.06E-28,1.78E+00,0.042,0.31,1868.3304,0.51,-0.02578
1,6,7150.670744,2.01E-28,3.93E+00,0.0856,0.371,307.4497,0.63,-0.01522
1,1,7150.7546,1.47E-23,4.97E-01,0.0557,0.285,888.6326,0.63,-0.009436
1,1,7150.7571,1.29E-28,5.20E-01,0.0368,0.221,3443.1604,0.37,0
1,1,7150.7885,2.63E-26,3.13E-04,0.0874,0.391,610.1144,0.67,-0.01818
1,2,7150.8202,4.64E-25,7.33E-01,0.0991,0.435,69.9274,0.72,-0.004539
1,2,7150.9028,2.32E-26,9.13E-02,0.0781,0.371,751.0328,0.63,-0.00876
1,2,7150.9211,1.10E-29,9.25E-02,0.0634,0.25,2527.6889,0.41,-0.01674
1,1,7150.9695,1.77E-28,1.93E-04,0.0747,0.281,1899.0075,0.47,-0.011656
1,3,7150.9805,6.00E-28,2.12E-01,0.0654,0.33,1443.041,0.51,-0.02544
1,2,7151.0264,9.83E-29,1.67E-02,0.0668,0.298,1433.0285,0.51,-0.001852
1,1,7151.08398,3.71E-23,4.18E-01,0.0544,0.28,888.5986,0.63,-0.016819
