Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,8499.850995,4.84E-27,1.21E-03,0.0422,0.4,1524.8473,0.47,-0.02537
1,1,8499.611647,8.18E-27,5.81E-03,0.0542,0.4,1718.7185,0.51,-0.019269
1,3,8499.484463,3.51E-27,5.21E-02,0.077,0.391,607.415,0.67,0
1,1,8499.440153,2.51E-26,8.67E-04,0.0706,0.166,757.7801,0.63,-0.015598
1,3,8499.318187,1.45E-27,3.71E-02,0.0719,0.371,753.729,0.63,0
1,1,8499.04098,5.50E-26,1.87E-03,0.0359,0.18,1114.5493,0.51,-0.016986
1,3,8499.008027,1.00E-27,1.81E-02,0.0873,0.401,607.3975,0.67,-0.01094
1,1,8498.8983,3.28E-25,1.88E-03,0.0683,0.297,704.214,0.61,-0.00428
1,1,8498.856621,1.62E-27,2.70E-01,0.0691,0.315,2818.3977,0.55,-0.020551
1,1,8498.853378,6.70E-26,1.55E-01,0.0364,0.324,1774.6153,0.44,-0.018216
1,3,8498.735657,8.46E-27,2.24E-02,0.0881,0.434,211.4431,0.71,0
1,1,8498.630659,4.12E-25,8.94E-03,0.0594,0.504,888.5986,0.63,-0.014122
1,1,8498.614565,3.35E-24,4.91E-02,0.0884,0.504,842.3565,0.61,-0.01446
1,4,8498.577802,2.85E-26,5.51E-01,0.0856,0.352,473.9176,0.61,-0.014759
1,1,8498.363369,1.35E-25,8.79E-03,0.0661,0.246,888.6326,0.63,-0.009857
1,2,8498.199404,1.79E-27,9.95E-03,0.0788,0.38,751.0329,0.63,-0.010272
1,1,8498.127519,2.45E-27,5.71E-02,0.0929,0.412,2005.9167,0.69,-0.012612
1,2,8498.109466,1.22E-27,6.06E-01,0.075,0.329,1808.3624,0.47,-0.011684
1,1,8497.957738,3.28E-26,6.19E-03,0.0663,0.273,1446.1279,0.51,-0.027183
1,3,8497.948562,2.75E-27,2.43E-02,0.0824,0.412,275.1417,0.69,0
1,2,8497.582817,1.02E-26,1.33E+00,0.0239,0.265,1551.2051,0.44,-0.022828
1,2,8497.572089,3.38E-27,1.32E+00,0.0253,0.265,1551.2019,0.44,-0.024383
1,1,8497.474435,2.08E-26,5.00E-02,0.0215,0.017,2042.3098,0.41,-0.031343
1,1,8497.412252,6.92E-27,5.00E-02,0.0226,0.4,2042.3727,0.41,-0.031443
1,4,8497.394459,1.43E-26,4.55E-01,0.0793,0.352,576.9047,0.61,-0.011804
1,2,8497.1288,1.02E-26,4.43E-03,0.0846,0.442,133.4758,0.72,-0.005537
1,4,8497.127686,1.65E-27,5.06E-02,0.0834,0.333,598.5631,0.57,-0.00883
