Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,7306.7521,1.80E-20,8.89E+00,0.093,0.51,79.4964,0.72,-0.006959
1,1,7306.73977,1.01E-21,8.87E-01,0.0747,0.391,325.3479,0.67,-0.0082
1,1,7303.23156,8.03E-22,1.28E+00,0.0995,0.48,95.1759,0.72,-0.003159
1,1,7308.81788,6.94E-22,4.53E-01,0.099,0.515,136.7617,0.71,-0.007519
1,1,7305.0809,3.49E-22,9.25E-01,0.074,0.4,326.6255,0.67,-0.011199
1,1,7306.48843,1.27E-22,2.52E-01,0.1002,0.51,70.0908,0.72,-0.00318
1,1,7309.24029,1.04E-22,4.26E-01,0.0835,0.467,416.2087,0.67,-0.012739
1,1,7307.1994,5.77E-23,7.83E-01,0.0523,0.26,888.5986,0.63,-0.01886
1,1,7309.9542,4.88E-23,2.51E-01,0.0583,0.32,744.1626,0.57,-0.0138
1,1,7302.6028,4.60E-23,1.24E+00,0.057,0.32,1059.8353,0.61,-0.017009
1,2,7306.3537,3.65E-23,9.24E+00,0.0944,0.51,136.3365,0.71,-0.003259
1,1,7308.69016,2.64E-23,9.69E-02,0.0816,0.48,648.9787,0.63,-0.01518
1,1,7304.5421,2.49E-23,3.68E-01,0.068,0.4,709.6082,0.61,-0.012949
1,1,7307.1678,1.98E-23,8.06E-01,0.0541,0.23,888.6326,0.63,-0.02378
1,1,7308.12467,1.79E-23,2.76E-01,0.061,0.35,744.0637,0.57,-0.017129
1,1,7308.7779,1.65E-23,2.17E-02,0.0984,0.434,212.1564,0.71,-0.01282
1,1,7302.755,1.52E-23,1.23E+00,0.054,0.262,1059.6466,0.61,-0.017859
1,2,7302.8314,1.15E-23,8.95E+00,0.0915,0.496,141.568,0.71,-0.008229
1,2,7301.903,9.24E-24,7.36E+00,0.098,0.473,94.7886,0.72,-0.011539
1,2,7307.4209,8.71E-24,4.48E+00,0.0808,0.42,282.307,0.71,-0.008869
1,1,7309.5252,8.64E-24,1.14E+00,0.0483,0.205,1411.6113,0.57,-0.01922
1,2,7309.4458,7.06E-24,7.48E+00,0.088,0.47,204.7559,0.71,-0.010629
1,1,7302.32893,6.79E-24,6.08E-02,0.0837,0.44,542.9058,0.63,-0.0043
1,1,7301.4355,6.27E-24,9.36E+00,0.075,0.445,1821.5968,0.69,-0.003569
1,1,7310.0858,5.85E-24,4.19E-02,0.0691,0.32,756.7247,0.63,-0.01694
1,1,7307.3031,5.13E-24,7.38E+00,0.0934,0.434,1772.4134,0.71,-0.00914
1,1,7303.9014,4.13E-24,1.42E+00,0.051,0.265,1631.383,0.55,-0.019539
1,1,7302.1834,4.00E-24,7.22E+00,0.0882,0.415,1819.3351,0.71,-0.01032
1,1,7310.0262,3.49E-24,7.95E+00,0.0837,0.32,1908.0163,0.69,-0.0125
1,1,7309.4976,3.09E-24,1.22E+00,0.044,0.333,1411.6418,0.57,-0.02602
1,2,7305.9119,2.91E-24,4.49E+00,0.0806,0.422,282.0945,0.71,-0.010359
1,1,7306.5036,2.46E-24,4.15E-01,0.0422,0.281,1524.8473,0.47,-0.0278
1,1,7303.281,2.41E-24,1.03E-01,0.0657,0.352,927.7439,0.61,-0.0139
1,3,7300.9543,2.40E-24,9.09E+00,0.0965,0.488,70.0047,0.72,-0.003949
1,1,7304.2938,2.11E-24,9.27E+00,0.085,0.43,1817.4512,0.69,-0.00594
1,1,7307.99846,1.70E-24,8.16E-03,0.0704,0.352,704.214,0.61,-0.00862
1,1,7306.1792,1.54E-24,5.61E+00,0.0768,0.412,2004.8154,0.69,-0.0129
1,1,7304.02594,1.37E-24,1.41E+00,0.0408,0.225,1631.2453,0.55,-0.02134
1,2,7302.0858,1.23E-24,6.34E-01,0.085,0.435,324.0465,0.67,-0.004719
1,2,7302.5496,1.21E-24,8.24E-01,0.0615,0.393,445.346,0.63,-0.012729
1,1,7303.9924,1.13E-24,8.37E-01,0.0299,0.164,1789.0426,0.57,-0.00564
1,3,7304.7652,1.13E-24,5.89E+00,0.0912,0.5,135.4313,0.72,-0.008
1,4,7306.451432,1.01E-24,3.24E+00,0.0953,0.434,91.3303,0.71,-0.0056
