Mol,ID,Primary,Name,Formula,AFGL Code,Abundance,PPMV,Permil Isotopic Fractionation,Mol Mass,Included
1,1,H2O,Water,H216O,161,0.997317,100,,18,1
1,2,H2O,Water,H218O,181,0.002,,0,20,1
1,3,H2O,Water,H217O,171,3.72E-04,,0,19,1
1,4,H2O,Water,HD16O,162,3.11E-04,,0,19,1
1,5,H2O,Water,HD18O,182,6.23E-07,,0,21,1
1,6,H2O,Water,HD17O,172,1.16E-07,,0,20,1
1,7,H2O,Water,D216O,262,2.42E-08,,0,20,1
2,1,CO2 ,Carbon Dioxide,12C16O2,626,0.984204,400,,44,1
2,2,CO2 ,Carbon Dioxide,13C16O2,636,0.011057,,0,45,1
2,3,CO2 ,Carbon Dioxide,16O12C18O,628,0.003947,,0,46,1
2,4,CO2 ,Carbon Dioxide,16O12C17O,627,7.34E-04,,0,45,1
2,5,CO2 ,Carbon Dioxide,16O13C18O,638,4.43E-05,,0,47,1
2,6,CO2 ,Carbon Dioxide,16O13C17O,637,8.25E-06,,0,46,1
2,7,CO2 ,Carbon Dioxide,12C18O2,828,3.96E-06,,0,48,1
2,8,CO2 ,Carbon Dioxide,17O12C18O,827,1.47E-06,,0,47,1
2,9,CO2 ,Carbon Dioxide,12C17O2,727,1.37E-07,,0,46,1
2,0,CO2 ,Carbon Dioxide,13C18O2,838,4.45E-08,,0,49,1
2,11,CO2 ,Carbon Dioxide,18O13C17O,837,1.65E-08,,0,48,1
2,12,CO2 ,Carbon Dioxide,13C17O2,737,1.54E-09,,0,47,1
3,1,O3 ,Ozone,16O3,666,0.992901,10,,48,1
3,2,O3 ,Ozone,16O16O18O,668,0.003982,,0,50,1
3,3,O3 ,Ozone,16O18O16O,686,0.001991,,0,50,1
3,4,O3 ,Ozone,16O16O17O,667,7.40E-04,,0,49,1
3,5,O3 ,Ozone,16O17O16O,676,3.70E-04,,0,49,1
4,1,N2O ,Nitrous Oxide,14N216O,446,0.990333,0.32,,44,1
4,2,N2O ,Nitrous Oxide,14N15N16O,456,0.003641,,0,45,1
4,3,N2O ,Nitrous Oxide,15N14N16O,546,0.003641,,0,45,1
4,4,N2O ,Nitrous Oxide,14N218O,448,0.001986,,0,46,1
4,5,N2O ,Nitrous Oxide,14N217O,447,3.69E-04,,0,45,1
5,1,CO ,Carbon Monoxide,12C16O,26,0.986544,0.2,,28,1
5,2,CO ,Carbon Monoxide,13C16O,36,0.011084,,0,29,1
5,3,CO ,Carbon Monoxide,12C18O,28,0.001978,,0,30,1
5,4,CO ,Carbon Monoxide,12C17O,27,3.68E-04,,0,29,1
5,5,CO ,Carbon Monoxide,13C18O,38,2.22E-05,,0,31,1
5,6,CO ,Carbon Monoxide,13C17O,37,4.13E-06,,0,30,1
6,1,CH4 ,Methane,12CH4,211,0.988274,1.7,,16,1
6,2,CH4 ,Methane,13CH4,311,0.011103,,0,17,1
6,3,CH4 ,Methane,12CH3D,212,6.16E-04,,0,17,1
6,4,CH4 ,Methane,13CH3D,312,6.92E-06,,0,18,1
7,1,O2 ,Molecular Oxygen,16O2,66,0.995262,209500,0,32,1
7,2,O2 ,Molecular Oxygen,16O18O,68,0.003991,,0,34,1
7,3,O2 ,Molecular Oxygen,16O17O,67,7.42E-04,,0,33,1
8,1,NO ,Nitric Oxide,14N16O,46,0.993974,0.04,,30,1
8,2,NO ,Nitric Oxide,15N16O,56,0.003654,,0,31,1
8,3,NO ,Nitric Oxide,14N18O,48,0.001993,,0,32,1
